ERR420386	ERR420387	ERR420388	ERR420389	ERR420390	ERR420391	ERR420392	ERR420393
171391	6	9	31	25	5	7	6	7
51286	56	554	5	2	1	498	46	0
79751	22	349	218	189	13	301	17	9
55367	4	31	27	22	2	23	1	1
6181	226	1568	1975	2015	381	1501	218	384
619565	19	590	544	541	8	581	29	7
57104	10	59	186	178	15	56	14	12
100506720	0	0	0	0	0	0	0	0
283229	2	6	15	7	0	4	0	1
977	7	67	455	512	39	75	6	30
5441	25	388	508	514	30	414	22	20
7106	2	19	229	224	9	39	0	5
66005	36	128	420	397	59	146	37	37
161	434	519	588	569	225	477	397	225
4588	8	13	81	97	18	12	4	22
100294360	0	0	1	0	0	0	0	0
4583	0	0	5	2	0	1	0	0
727897	0	7	86	98	7	6	1	4
54472	462	799	899	946	215	778	470	230
255512	5	5	0	5	4	5	7	5
9024	57	282	1	5	1	273	57	0
81532	14	84	65	61	11	92	19	8
1850	32	172	17	7	0	180	39	2
338651	76	45	1	0	2	39	72	0
387264	7	6	0	0	0	3	4	0
440021	0	0	0	0	0	0	0	0
387266	0	0	0	0	0	0	0	0
387267	1	0	0	0	0	2	0	0
439915	0	1	0	0	0	0	0	0
387742	0	0	327	313	72	0	0	57
100132464	0	0	302	265	101	0	0	101
100505570	0	0	22	27	10	0	0	18
440023	0	0	6	4	3	0	0	0
402778	17	78	42	36	3	60	16	5
1509	105	1025	4211	4210	210	946	100	238
90019	0	0	0	0	0	0	0	0
7136	0	0	1	2	0	0	1	0
4046	0	4	89	81	18	2	1	14
100423021	0	0	0	1	0	0	0	0
7140	0	1	0	0	0	0	0	1
6150	7	133	285	306	23	111	12	21
100133545	1	6	7	6	1	6	0	1
283120	9	6	8502	8517	930	4	5	940
100033819	0	0	0	0	0	0	0	0
3481	2	4	18	21	5	1	1	1
723961	0	0	0	0	0	0	0	0
619552	0	0	0	0	0	0	0	0
51214	0	0	40	37	5	2	0	6
3630	0	0	5	4	0	0	0	0
7054	0	1	32	25	3	0	0	1
430	1	5	14	8	2	5	0	0
29125	0	2	14	15	4	1	2	2
10077	4	4	6	8	1	2	3	2
975	182	839	3362	3540	454	859	163	419
10078	3	54	85	66	1	51	6	1
29850	0	0	0	1	0	1	0	0
3784	2	7	28	27	5	15	2	4
10984	611	406	472	449	498	428	632	462
55539	0	2	0	1	0	1	2	0
1028	174	195	32	38	17	186	179	7
5003	0	1	1	3	1	3	0	1
5002	3	19	142	154	3	7	2	5
7262	0	5	0	2	0	7	0	0
4676	629	578	426	397	277	607	553	278
677833	640	3867	5431	5602	428	3706	629	440
100505870	53	22	38	49	58	23	53	56
833	310	247	254	254	149	258	275	142
114879	10	65	46	53	3	75	14	4
386746	0	0	0	0	0	0	0	0
283303	0	0	0	0	0	0	0	0
116534	0	0	0	0	0	2	0	0
7748	264	155	116	81	135	136	293	132
650368	4	2	2	1	0	2	1	0
728199	2	0	1	2	3	0	0	1
7221	0	3	2	1	1	0	0	1
116969	3	1	13	8	1	0	0	3
417	1	0	0	0	0	1	0	1
57053	3	1	11	4	3	1	3	1
4928	751	330	1033	1050	1203	304	760	1165
27315	86	55	195	205	127	58	72	131
391	64	108	120	106	27	104	63	23
100506066	1	61	7	8	1	56	0	0
6786	473	312	650	672	403	331	460	366
100293160	1	2	9	6	15	2	3	12
6240	417	218	268	285	321	211	402	321
100506082	1	2	1	0	0	2	1	2
143496	0	0	0	0	0	0	0	0
6737	34	21	132	162	99	18	36	102
119774	3	1	1	1	0	2	0	1
390036	0	0	0	1	0	0	0	0
119772	0	0	0	0	0	0	0	0
143501	0	0	0	0	0	0	0	0
143502	0	0	1	0	0	0	0	1
390037	1	1	0	1	1	0	0	1
55128	135	88	72	69	64	84	123	68
390038	0	0	0	0	0	0	0	0
143503	1	1	1	0	1	0	5	2
81285	0	1	0	0	1	1	1	0
256892	0	0	0	0	0	0	0	0
119695	0	0	0	0	0	0	0	0
119694	0	0	0	0	0	0	0	0
119692	0	0	0	0	0	0	0	0
401665	0	0	0	0	0	0	0	0
119687	0	0	0	0	0	0	0	0
81282	0	0	0	0	0	0	0	0
79324	0	0	0	0	0	0	0	0
401666	0	0	0	0	0	0	0	0
401667	0	0	0	0	0	0	0	0
56547	0	0	0	0	0	0	0	0
119682	0	0	0	0	0	0	0	0
119679	1	0	0	0	0	0	0	0
119678	0	0	0	0	0	0	0	0
100506101	1	0	0	0	0	0	0	0
390053	1	0	0	0	0	0	0	0
390054	0	0	0	0	0	0	0	0
23538	1	0	0	0	0	0	0	0
283111	1	0	0	0	0	0	0	0
3043	156	356	407	472	159	345	151	124
3045	0	1	1	0	1	0	0	0
3044	0	0	0	0	0	1	0	0
3047	1	1	0	2	0	0	0	1
3048	0	1	0	2	1	0	1	1
3046	3	2	0	0	0	4	2	0
79339	0	1	0	0	0	1	2	0
79345	2	0	0	1	3	1	1	0
282763	0	1	0	0	2	0	3	0
390058	1	0	1	2	1	1	2	3
390059	1	0	1	1	2	0	0	2
390061	0	0	0	0	0	2	1	0
390063	0	0	0	0	2	0	0	1
390064	0	0	1	0	0	1	0	0
390066	2	1	2	0	1	0	0	2
50613	0	0	1	1	5	0	1	1
143630	4	0	7	4	3	2	6	6
390067	1	0	2	3	4	0	1	4
340980	2	1	1	1	2	1	3	0
117854	11	4	6	8	11	6	8	14
445372	0	0	0	0	0	0	0	0
53840	0	0	2	1	7	0	1	2
117852	4	2	14	18	27	5	4	26
85363	44	33	319	355	355	26	44	349
10346	204	142	469	469	549	146	225	555
387748	0	0	0	0	1	0	1	1
390072	1	0	1	0	1	1	0	0
390075	0	0	0	0	0	0	0	0
79473	0	0	2	1	1	0	0	0
390077	0	0	0	0	1	0	0	0
390078	0	0	0	0	0	0	1	0
390079	0	0	0	0	0	0	1	0
390081	0	2	0	0	0	0	0	0
390083	1	0	0	0	0	1	0	0
390084	0	0	0	0	0	1	1	0
338751	0	0	0	0	0	0	0	0
120793	0	0	0	0	0	1	0	0
120796	0	0	0	0	0	0	0	0
196335	0	0	1	2	0	1	0	0
255725	0	0	1	0	1	0	0	0
120787	3	1	4	2	0	3	3	0
160298	7	20	9	10	4	9	7	7
84067	55	119	160	167	60	133	54	39
1262	2	4	0	1	0	1	0	0
887	119	102	0	0	0	76	97	0
112464	6	5	15	20	5	12	11	10
6609	97	211	456	437	112	169	103	117
322	611	1581	70	75	10	1540	550	15
100506137	46	29	2	1	2	24	59	2
3263	17	5	18047	18532	8230	5	15	8081
10612	86	125	43	33	16	125	81	14
23647	177	146	199	183	108	166	153	110
26515	528	259	210	209	236	264	483	261
144132	120	127	169	164	134	144	161	129
23378	109	61	119	161	70	81	102	83
3611	325	230	456	475	311	197	335	301
6881	97	102	139	167	74	84	110	59
1200	558	575	1231	1272	682	563	544	691
8642	54	162	347	330	36	152	35	36
63875	121	120	111	110	75	127	125	65
387751	68	30	170	189	254	31	46	239
338755	1	1	0	0	0	2	3	0
144125	0	1	1	0	0	2	2	0
8590	2	1	0	0	0	0	2	1
144124	3	1	0	0	0	0	1	0
341276	3	2	1	0	0	1	4	0
283297	3	1	0	0	1	3	7	1
120776	2	1	0	0	1	2	6	0
120775	1	1	0	0	2	1	0	1
7762	38	23	3	8	9	13	24	6
7761	98	47	54	39	64	38	82	58
338323	9	7	27	15	24	5	9	25
27288	2	0	3	2	2	0	0	4
100506238	0	0	0	0	1	0	0	0
100313774	0	0	0	0	0	0	0	0
143425	189	85	36	48	60	98	213	53
100506258	25	15	40	55	57	5	22	55
283298	3	8	98	84	62	6	12	69
8495	164	95	407	368	354	87	153	308
51700	99	63	28	14	30	64	113	17
341277	7	0	1	3	2	0	5	1
120065	0	0	0	0	0	0	0	0
120066	0	0	0	0	0	0	0	0
26343	0	0	0	0	1	0	0	0
283299	0	0	0	1	0	0	0	0
390093	0	1	0	0	0	0	0	0
26496	0	0	0	0	0	0	0	0
338322	1	0	0	0	0	1	1	0
8665	122	110	242	243	149	115	85	121
7275	1245	669	47	41	53	681	1169	54
79608	515	277	57	59	83	247	478	72
4004	2	5	0	0	0	7	5	0
65975	65	35	4	1	6	34	79	2
9866	180	106	187	189	194	136	183	161
6157	559	522	1131	1141	599	466	579	559
619562	22	137	136	140	15	141	29	14
677826	9	7	16	17	7	10	5	11
6764	100	107	255	239	117	109	103	95
56672	76	97	55	51	24	102	83	30
56673	3	2	0	1	0	2	5	6
56676	0	0	0	2	0	0	0	0
56674	560	401	238	277	225	357	608	251
56675	1414	812	2	5	7	783	1340	7
57758	35	28	23	28	23	19	32	17
283102	0	1	1	1	2	2	1	0
23258	2057	1044	381	415	381	1047	1984	371
440026	612	341	570	598	630	349	478	617
10527	1379	816	924	929	892	767	1317	917
677808	333	470	982	960	274	461	296	284
644656	28	17	18	24	16	12	22	12
7702	206	111	114	125	157	104	202	121
7465	12	12	196	225	268	9	12	225
23075	358	207	211	218	200	217	384	207
440028	1	1	7	1	3	2	1	2
283104	65	51	28	39	43	42	69	38
81846	820	388	715	713	939	359	796	888
133	10	21	61	46	31	15	12	26
272	207	169	40	41	24	185	209	28
100463486	1189	1270	531	600	538	1088	952	391
50862	2002	1091	421	438	503	1070	1975	464
100129827	6	7	2	3	1	4	5	3
10894	148	112	814	780	720	100	149	685
10335	656	474	50	51	58	437	613	54
9646	516	373	678	676	683	303	522	696
1982	5584	2849	4160	4424	4706	2798	5367	4572
692223	89	409	1014	1034	129	404	85	127
58486	469	243	129	134	201	229	480	191
729013	66	42	60	75	77	34	78	59
374378	80	138	61	54	20	120	65	23
283106	703	329	203	217	266	337	684	274
100423026	1	1	0	0	0	0	0	0
55031	1589	823	1045	1074	1212	860	1545	1271
27122	5104	3109	128	119	104	2973	4974	93
9645	759	516	200	198	139	527	726	136
84953	2	2	13	9	10	0	2	17
55742	333	163	307	334	347	168	367	340
7003	660	377	1202	1176	1365	392	655	1337
100506305	9	1	0	0	0	1	5	0
100506352	0	1	0	2	0	1	3	0
644943	0	1	0	0	0	1	1	0
406	334	162	68	55	71	177	361	76
84280	1243	658	109	106	110	667	1174	110
5741	0	0	0	3	3	0	0	2
84188	1360	759	218	196	228	776	1287	215
10418	774	501	70	69	74	517	770	76
22800	56	41	251	216	230	33	60	235
1315	815	413	1213	1101	1354	376	777	1302
5682	780	428	567	581	629	477	715	596
5140	216	107	1034	1053	1267	112	197	1218
120227	52	34	48	57	90	25	58	77
100506367	13	7	21	21	23	14	19	35
796	0	0	0	3	1	0	0	2
797	4	1	2	0	0	0	0	1
387755	0	2	0	0	0	2	0	1
55553	472	229	246	264	315	240	463	323
10944	1551	1130	1239	1193	1166	1112	1571	1150
100289201	4	1	13	12	7	0	1	3
144100	36	40	129	124	87	33	33	78
6207	261	175	432	460	405	186	284	385
26822	2	6	15	18	17	1	7	14
85388	20	14	19	18	11	16	16	14
5286	1525	776	1067	1104	1453	774	1438	1372
4925	253	144	397	363	457	146	238	438
374383	414	198	9	10	16	160	406	21
3767	25	105	2	2	0	107	20	0
6833	88	159	0	2	0	152	89	0
10083	93	91	13	2	6	93	112	9
340990	0	2	0	0	0	4	0	0
4654	0	0	0	0	0	0	0	0
3746	259	315	1	2	0	283	285	1
26297	351	216	62	100	68	236	314	76
7166	5	3	3	1	5	4	2	3
113174	93	38	59	41	55	50	71	46
6290	0	0	0	0	1	0	0	0
117195	1	0	0	0	0	0	0	0
117196	0	0	0	0	1	0	0	0
494141	6	1	2	1	5	5	6	3
6291	5	3	5261	5292	4846	4	4	4853
6289	3	2	302	300	205	1	0	187
6288	1	1	663	773	255	0	0	261
11234	369	187	391	430	515	189	352	472
2965	494	222	306	254	396	233	449	363
3939	2137	1230	2810	2907	2969	1137	2008	2889
3948	0	0	2	1	3	0	0	8
160287	11	10	14	11	18	10	19	11
7251	387	287	319	312	310	237	384	283
55293	201	99	149	130	181	84	187	135
100506540	23	10	7	9	11	18	20	10
144108	297	136	361	397	437	153	289	429
144110	91	75	67	55	43	59	85	39
283284	21	12	5	4	0	11	14	1
84867	238	338	2	0	0	355	209	1
259249	0	0	0	0	0	0	0	0
117194	0	0	0	0	0	0	0	0
54503	187	108	35	19	38	78	183	30
8048	0	0	0	0	0	1	1	0
79733	0	1	4	4	0	2	3	2
89797	527	406	304	358	285	410	502	273
399876	18	3	14	23	30	6	8	25
100126784	90	81	5	9	4	75	58	5
120237	0	0	0	1	0	0	1	0
10553	139	87	368	349	308	81	134	280
10196	198	133	100	106	113	141	227	107
645490	0	0	0	0	0	0	0	0
100506595	0	0	0	0	0	0	0	0
9152	1	1	0	0	0	0	0	0
4745	526	276	0	1	3	285	531	0
203859	1013	501	185	155	182	510	935	195
57084	197	77	1	1	0	84	172	0
2188	94	66	113	95	86	48	105	100
2620	119	50	504	502	678	53	119	707
258010	465	262	89	105	91	271	418	117
338645	427	230	2	2	3	237	419	1
63982	695	305	33	37	37	320	652	37
143662	16	7	4	1	5	5	11	2
159963	7	1	210	237	290	3	10	326
387758	175	114	46	48	54	129	151	41
8424	270	131	443	452	620	112	236	591
91057	107	66	23	26	24	68	96	24
55366	375	212	1918	2029	2406	225	400	2276
55327	1465	896	1752	1760	2016	794	1381	2005
497258	82	49	21	31	22	48	81	23
627	178	76	6	9	17	100	147	11
81930	4	3	7	5	9	7	5	7
693195	0	0	0	0	0	0	0	0
196074	136	91	163	155	168	86	149	177
3739	350	225	1	0	1	194	334	1
2488	0	0	0	1	0	0	0	0
120534	340	167	190	146	211	147	338	170
744	241	127	14	23	17	130	252	14
100506627	16	7	54	55	106	11	16	106
100505848	10	2	0	1	1	6	5	0
341019	5	1	0	0	0	5	2	1
120526	327	251	93	122	93	239	311	122
196294	50	71	37	46	37	63	56	38
26610	158	97	100	103	116	98	121	99
5080	407	233	23	31	27	222	368	30
440034	0	0	0	0	0	1	0	0
100506675	0	0	0	0	0	0	0	0
5954	186	119	587	637	583	129	194	572
7490	2	0	0	1	2	0	2	0
51352	0	0	1	1	1	0	0	0
10480	653	304	586	514	708	277	677	662
493860	54	41	45	44	63	35	89	54
79056	16	14	495	512	381	16	12	362
100506702	6	2	158	167	202	3	6	187
79832	969	492	792	761	1009	426	826	944
91614	42	26	571	540	799	32	44	692
55346	608	337	83	74	81	371	599	92
283267	783	482	80	57	79	468	803	97
1479	450	283	211	222	244	283	425	271
338739	3	0	2	2	0	1	3	0
10114	1708	676	1053	1140	1254	773	1638	1328
25758	2966	1577	4	5	3	1492	2812	4
100131378	4	1	0	0	0	0	0	1
966	2920	1499	2274	2384	2291	1559	2871	2280
26273	757	363	445	418	484	408	677	491
100507109	0	0	0	0	0	0	0	0
4005	195	78	138	115	108	99	178	117
4076	2625	1352	1503	1521	1785	1334	2560	1762
55226	297	241	265	269	239	233	323	194
25841	50	61	225	231	69	49	38	65
100507128	7	4	5	5	4	2	5	3
847	398	240	9906	10126	9888	226	378	9688
2001	1	0	1	1	0	0	0	1
26298	27	12	48	70	91	8	22	89
51074	171	101	65	76	73	92	141	62
8050	699	351	348	340	347	320	695	324
100507144	1	0	0	1	1	0	1	0
960	314	177	662	708	732	182	302	668
100507164	0	1	8	9	5	0	1	11
6506	56858	31567	1910	1997	2271	30644	55493	2157
25891	202	150	214	212	158	147	214	156
24147	61	73	12	8	3	73	50	4
54765	2621	1387	920	911	1045	1346	2422	933
143458	84	50	31	28	17	45	82	18
29099	283	167	169	182	154	190	311	142
79899	152	93	42	51	42	103	136	45
7189	194	85	146	167	195	96	178	203
5896	10	8	45	52	51	2	9	56
5897	1	3	1	2	1	5	3	2
119710	212	134	58	49	65	129	208	49
57689	850	627	17	26	20	619	882	24
100507187	190	90	0	0	0	84	176	0
100505897	0	0	0	0	0	0	0	0
100507205	0	0	0	0	0	0	0	0
399881	1	3	1	0	0	2	1	0
8539	790	582	779	841	776	539	814	793
55761	544	260	854	836	1059	277	520	1019
100313777	0	0	0	0	0	1	2	0
100507261	6	3	0	0	0	2	3	0
100131381	4	6	0	0	0	3	6	0
406918	0	2	0	0	0	0	0	0
51144	995	589	733	876	901	576	932	804
100507245	19	9	13	14	15	7	15	19
100507282	114	64	11	28	23	57	119	29
221120	118	73	95	85	117	68	122	97
729799	10	6	10	9	17	8	14	13
100507300	13	6	4	11	18	0	11	16
387763	8	23	66	69	9	26	7	17
390110	0	1	0	0	0	1	0	1
84680	17	13	139	121	62	25	15	71
2132	441	258	457	484	454	271	465	444
60529	5	4	4	2	0	4	3	0
3732	21	91	310	313	41	86	30	33
90139	30	41	112	128	54	30	23	61
9537	64	113	156	165	33	104	48	32
221122	0	0	0	0	1	0	0	0
56981	17	25	12	18	5	26	22	5
100507338	47	29	9	8	5	53	38	5
57586	1961	1154	9	11	21	1130	1983	11
399886	3	4	0	0	0	2	3	0
8534	155	307	5	10	1	274	189	1
100507384	0	0	0	0	0	0	0	0
374387	2	18	36	34	1	9	4	2
55343	22	32	269	262	78	38	20	89
1408	379	437	811	819	393	424	369	390
9479	116	831	66	72	7	843	121	5
143678	0	3	5	3	0	3	0	0
9409	12	133	161	150	12	98	12	9
120071	0	0	29	30	3	0	0	1
51317	823	425	161	162	139	392	754	127
90993	9	26	1	3	3	19	11	2
8525	24	411	53	51	2	365	19	3
4192	20	31	20	32	1	30	18	2
1132	4	19	0	0	0	21	2	0
55626	279	247	260	225	142	251	271	128
100422827	0	0	0	0	0	0	0	0
100422825	0	0	0	0	0	0	0	0
283254	67	28	26	30	27	31	50	23
9776	717	539	414	402	288	504	750	305
392	169	295	342	315	92	287	152	77
79797	7	25	42	59	6	27	11	4
2147	14	1	12270	12528	3764	6	7	3670
9793	3158	1387	731	684	931	1367	3022	860
692108	19	53	28	36	6	57	22	6
100507401	11	11	0	0	2	15	7	0
4038	908	854	55	57	31	776	887	40
79096	386	1285	41	52	23	1239	412	37
84364	393	451	570	586	228	443	380	212
29763	19	97	269	258	24	78	18	24
1643	64	34	85	107	48	35	54	66
53	163	164	598	603	290	167	193	292
10062	15	22	450	453	135	24	17	163
8567	1159	851	380	316	221	917	1085	206
4607	1	1	3	7	0	4	2	0
6688	5	44	101	124	15	32	4	10
100507417	13	8	10	9	6	4	16	12
91252	20	58	83	75	11	76	20	10
5702	637	597	493	524	225	615	570	232
5913	0	1	1	4	1	0	0	0
10658	1788	979	1836	1880	1649	1022	1662	1636
114971	158	105	126	123	79	132	139	76
55709	100	69	72	79	45	64	115	41
4722	330	347	328	302	215	306	332	179
399888	3	1	4	1	0	5	6	0
114900	0	148	1	0	0	118	3	0
23788	947	458	1160	1251	1237	430	907	1260
79841	6	1	45	45	60	3	5	54
23360	379	205	295	297	413	207	363	370
23279	255	126	544	533	678	122	281	634
5795	769	439	1302	1349	1128	439	748	1126
100423000	0	3	2	5	3	0	2	5
100287223	0	0	0	0	0	0	0	0
119765	0	0	0	0	0	0	0	0
119764	0	0	0	0	0	0	0	0
390113	0	0	0	0	0	0	0	0
256148	0	0	0	0	0	0	0	0
256144	0	0	0	0	0	0	0	0
403253	0	0	0	1	0	0	0	0
120824	0	1	0	0	0	0	0	0
283116	1	0	0	0	0	0	1	0
646754	0	0	0	0	0	0	0	0
2346	707	342	695	712	806	375	657	746
440040	121	59	0	0	0	47	98	0
283257	2	3	0	0	0	2	6	0
283092	0	0	0	0	0	0	0	0
283093	0	0	0	0	0	0	0	0
441601	2	0	0	0	0	1	2	0
646813	0	0	0	0	0	0	1	0
81318	0	0	0	0	0	0	0	0
119749	0	0	0	0	0	0	0	0
79097	0	0	0	0	0	0	0	0
440041	0	0	0	0	0	1	1	0
81327	0	0	0	0	0	0	0	0
81328	0	0	0	0	0	0	0	0
81309	0	0	0	0	0	0	0	0
219428	1	0	0	0	0	0	0	0
219429	0	0	0	0	0	0	0	0
81300	0	0	0	0	0	0	0	0
219431	0	0	0	0	0	0	0	0
219432	0	0	0	0	0	0	0	0
390142	0	0	0	0	0	0	0	0
219436	0	0	0	0	0	0	0	0
219437	0	0	0	0	0	0	0	0
219438	1	0	0	0	0	0	0	0
26338	0	0	0	0	0	0	0	0
390144	0	1	0	0	0	0	0	0
84767	0	0	0	0	0	0	1	0
390148	0	0	0	0	0	0	0	0
10798	0	0	0	0	0	0	0	0
282770	0	0	0	0	0	0	0	0
219445	0	0	0	0	0	0	0	0
338674	0	0	0	0	0	0	0	0
219447	0	0	0	0	0	0	0	0
120586	0	0	0	0	0	0	0	0
390151	0	0	0	0	0	0	0	0
390152	0	0	0	0	0	0	0	0
81168	0	0	0	0	0	0	0	0
219453	0	0	0	0	0	0	0	0
282775	0	0	0	0	0	0	0	0
219464	0	0	0	0	0	0	0	0
390154	0	0	0	0	0	0	0	0
390155	0	0	0	0	0	0	0	0
219469	0	0	0	0	0	0	0	0
219473	0	0	0	0	0	0	0	0
390157	0	0	0	0	0	0	0	0
219477	0	0	0	0	0	0	0	0
219417	0	0	0	0	0	0	0	0
219479	0	0	0	0	0	0	0	0
390162	0	0	0	0	0	0	0	0
219482	0	0	0	0	0	0	0	0
219484	0	0	0	0	0	0	0	0
219487	0	0	0	0	0	0	0	0
390167	0	0	0	0	0	0	0	0
390168	0	0	0	0	0	0	0	0
338675	0	0	0	0	0	0	0	0
219493	0	0	0	0	0	0	0	0
390174	0	0	0	0	0	0	0	0
283189	0	0	0	0	0	0	0	0
390181	1	0	1	1	0	1	0	5
219525	6	4	2	1	5	3	3	0
219527	112	65	266	246	237	58	96	180
187	245	265	339	387	183	247	209	200
85456	53	172	797	864	140	177	56	173
6749	670	396	498	572	462	365	670	389
5024	0	0	5	3	0	0	0	2
10394	0	0	0	0	0	0	0	0
5553	1	0	24	16	9	0	0	13
29015	20	28	907	886	696	25	33	599
349667	1	26	33	38	1	16	3	1
8501	4	5	850	905	321	5	6	321
26519	113	180	220	225	74	166	95	63
219537	4	3	8	14	11	2	5	3
9246	231	194	808	845	514	173	244	497
710	138	112	13951	14395	8896	110	109	8856
100507106	18	18	10	10	10	14	20	13
406919	3	1	0	1	1	0	0	2
219539	250	258	18	16	8	236	278	4
10978	72	33	76	71	70	30	49	71
25921	389	243	743	739	620	243	407	652
219541	100	108	57	54	41	95	94	40
51075	880	488	452	433	516	422	843	474
280636	170	335	399	392	104	302	178	96
643376	21	15	20	13	18	11	18	18
1500	1545	853	2867	2891	2807	882	1518	2696
219952	0	0	0	0	0	0	0	0
219954	1	0	0	0	0	0	0	0
219956	0	0	0	0	0	0	0	0
219957	0	0	0	0	0	0	0	0
219958	0	0	0	0	0	0	0	0
219959	0	0	0	0	0	0	0	0
219960	0	0	0	0	0	0	0	0
81341	0	1	0	0	0	0	0	0
219965	0	0	0	0	0	0	0	0
441608	0	0	0	0	0	0	0	0
390190	1	0	0	0	0	0	0	0
390191	0	1	0	0	0	0	0	0
219968	0	0	0	1	1	0	0	1
9404	165	95	110	116	115	81	191	110
386607	0	0	0	0	0	0	0	0
80829	1162	530	593	693	750	526	1056	694
1270	1	0	0	2	0	0	5	2
10249	3	3	3200	3274	4114	1	3	3980
219970	8	1	0	0	0	1	6	0
283194	0	0	15	19	22	0	1	24
92292	4	1	3238	3338	4172	3	1	4047
100506773	0	0	0	2	4	0	0	0
643637	0	0	2	2	3	0	0	3
374393	0	3	15	11	16	2	1	18
63901	91	50	321	304	401	38	81	370
23220	434	282	355	339	257	268	427	257
219972	191	158	1138	1131	861	164	178	885
341112	0	0	0	0	0	0	0	0
390195	0	0	3	0	2	0	0	0
219981	0	0	0	0	0	0	0	0
219982	0	0	0	0	0	0	0	0
219983	0	0	0	1	0	0	0	0
390197	0	0	0	0	0	0	0	0
219986	0	0	0	0	0	0	0	0
390199	0	0	0	0	0	0	0	0
5007	887	427	1403	1404	1678	360	922	1620
100422880	0	1	1	0	4	0	1	1
100507411	5	2	17	14	10	5	6	13
219988	208	97	519	486	519	99	164	516
390201	0	0	0	0	0	0	0	0
6809	281	153	134	110	115	103	272	123
54948	163	112	236	252	192	134	150	155
2694	3	0	0	0	1	2	3	2
6947	6	0	6	4	13	0	2	12
255649	1	1	0	0	0	2	0	0
219990	0	0	0	0	0	0	0	0
932	0	1	1	4	0	0	1	0
2206	1	1	4	6	7	0	0	3
64231	52	26	1151	1134	1285	34	67	1257
643680	2	1	47	33	52	3	3	45
51338	40	34	228	227	207	34	29	241
245802	0	0	2	1	1	0	0	0
58475	76	49	736	756	652	41	54	690
84689	9	9	24	24	29	5	5	24
64232	0	0	0	0	0	0	0	0
931	0	0	9	15	23	1	0	14
54860	0	1	0	0	0	0	0	0
503497	0	0	0	0	0	0	0	0
283197	0	0	0	0	0	0	0	0
83661	3	1	0	0	0	0	6	0
728588	0	0	0	0	0	0	1	0
219995	0	0	0	0	0	0	0	0
341116	0	0	0	0	2	0	0	0
79080	9	31	44	39	4	28	13	7
11251	17	17	8	5	3	19	12	2
22917	1	4	2	1	0	0	1	2
27339	338	554	437	469	206	528	349	163
79073	74	152	419	415	116	156	79	100
54972	57	670	13	12	1	676	73	2
51296	15	61	218	198	21	62	9	26
923	3	8	16	14	5	10	8	3
921	4	5	7	11	3	3	4	4
55048	45	78	61	50	16	74	46	19
643834	5	6	41	46	16	3	2	10
643847	3	0	10	6	0	0	1	0
5222	0	1	8	9	6	0	4	1
220001	7	13	114	111	23	18	5	14
1642	1808	1253	1682	1650	1190	1211	1852	1162
26007	65	93	1398	1304	323	99	52	333
220002	23	46	202	200	59	39	26	40
51524	87	42	87	87	94	48	88	99
51259	43	30	38	24	28	27	46	23
79869	623	307	479	508	497	309	600	475
54949	196	144	172	177	169	111	182	180
220004	4	19	18	17	5	11	6	3
390205	6	18	0	0	0	16	7	0
9066	552	670	750	799	326	755	536	285
113157	22	16	38	37	40	13	11	32
747	48	198	19	27	4	198	42	1
745	400	613	234	248	88	620	421	71
26070	1	7	3	2	1	6	0	1
100507482	2	3	1	3	0	2	1	0
746	440	386	458	409	294	405	420	281
693196	0	4	1	1	0	1	1	0
2237	111	93	111	89	46	97	126	50
3992	1581	873	763	789	699	894	1523	686
100302263	1	1	0	0	0	0	0	0
9415	486	781	1827	1735	526	801	436	550
3995	30	110	74	52	9	107	28	7
5866	1	36	96	95	4	39	2	5
7439	81	47	9	24	9	55	81	18
100507502	3	9	3	0	1	13	3	1
2495	5660	3687	6130	6279	6279	3841	5472	6012
100507521	3	0	0	0	0	0	1	0
3619	55	98	56	67	15	135	67	10
10648	0	0	0	0	0	0	0	0
4246	0	0	1	0	0	0	0	2
10647	0	0	0	0	0	1	0	0
4250	0	0	0	0	0	0	0	0
404552	0	0	0	0	0	0	0	0
80150	463	337	17	18	12	339	490	3
7356	0	2	0	1	0	1	0	1
79026	6141	3886	13404	13751	13897	3767	6010	13618
1937	332	437	1259	1340	546	406	275	577
64852	31	76	193	188	55	80	29	38
9219	425	344	406	418	267	321	456	260
256364	46	74	172	192	68	96	45	50
6094	37	58	9	7	3	55	52	2
26229	28	116	81	81	6	125	19	7
23193	906	702	3107	3144	2010	667	918	1953
80789	34	60	176	182	38	68	50	43
79081	144	177	179	175	85	198	134	90
751071	10	13	20	16	12	14	9	5
692158	48	1179	1563	1596	28	1182	41	25
790955	2	42	75	62	1	51	1	0
51035	67	198	178	161	33	193	65	41
221091	9	8	1	2	1	10	13	2
26580	1190	1183	139	168	66	1099	1143	62
2785	751	643	4	5	2	718	723	2
221092	1129	810	638	730	488	779	1115	476
283237	149	145	69	92	63	110	147	66
79842	61	77	61	48	33	76	72	34
5436	341	233	185	222	181	260	362	183
10629	45	66	139	106	35	51	44	37
374395	89	66	250	215	124	75	92	144
79064	56	37	85	71	67	35	51	59
10482	200	151	298	306	208	136	208	253
6811	147	120	263	271	185	112	151	160
54663	61	77	159	166	62	95	46	51
26855	5412	13844	10133	10734	1797	13279	5381	1723
23642	168	91	75	87	132	87	182	146
9304	5	30	36	41	6	16	6	5
9298	12	2	1	3	8	2	5	8
9299	3	8	6	8	2	7	2	3
9297	7	0	3	3	9	3	7	3
